backend,device,world_size,size_mib,avg_time_s,bandwidth_mib_s,iters
gloo,cpu,2,1,0.00041543893166817725,2407.0926525459295,30
gloo,cpu,2,10,0.0031595092732459307,3165.0484727732646,10
gloo,cpu,2,100,0.036663927137851715,2727.47650910424,3
gloo,cpu,2,1024,0.37935173511505127,2699.34181186607,1
gloo,cpu,4,1,0.0008862621616572142,1692.5014571254658,30
gloo,cpu,4,10,0.005832871422171593,2571.6322055347932,10
gloo,cpu,4,100,0.07033765316009521,2132.5704407365665,3
gloo,cpu,4,1024,0.7092050313949585,2165.8052777471016,1
gloo,cpu,6,1,0.001290897256694734,1291.091648094495,30
gloo,cpu,6,10,0.007626750506460667,2185.290662458177,10
gloo,cpu,6,100,0.08436571806669235,1975.5259658302703,3
gloo,cpu,6,1024,1.2591427564620972,1355.4195168957722,1
