d_model,seq_len,forward_time(s),backward_time(s),mem(MB)
16,256,0.0218,0.1516,10.65
16,1024,0.0367,0.1377,51.27
16,4096,0.2641,0.8737,553.02
16,8192,0.9170,2.9398,2145.77
16,16384,3.4546,10.6159,8499.27
32,256,0.0246,0.0780,31.24
32,1024,0.0295,0.1246,53.25
32,4096,0.2907,0.9915,560.06
32,8192,0.9960,3.1801,2162.81
32,16384,3.6573,11.2067,8533.31
64,256,0.0239,0.0770,44.22
64,1024,0.0322,0.1234,58.05
64,4096,0.3183,1.0171,575.74
64,8192,1.0970,3.3221,2196.99
64,16384,4.0486,11.8705,8601.49
128,256,0.0242,0.0873,70.40
128,1024,0.0395,0.1383,65.76
128,4096,0.3759,1.1583,607.44
128,8192,1.2998,3.7523,2265.69
128,16384,4.8129,13.3437,8738.19
